"Count","Series","Title","Episode","Year","PlexId","imdb","tmdb","tvdb"
304,"TNG","Star Trek Loud as a Whisper","2x05","1989","NULL","NULL","NULL","NULL"
305,"TNG","Star Trek The Schizoid Man","2x06","1989","NULL","NULL","NULL","NULL"
306,"TNG","Star Trek Unnatural Selection","2x07","1989","NULL","NULL","NULL","NULL"
307,"TNG","Star Trek A Matter of Honor","2x08","1989","NULL","NULL","NULL","NULL"
308,"TNG","Star Trek The Measure of a Man","2x09","1989","NULL","NULL","NULL","NULL"
309,"TNG","Star Trek The Dauphin","2x10","1989","NULL","NULL","NULL","NULL"
310,"TNG","Star Trek Contagion","2x11","1989","NULL","NULL","NULL","NULL"
311,"TNG","Star Trek The Royale","2x12","1989","NULL","NULL","NULL","NULL"
312,"TNG","Star Trek Time Squared","2x13","1989","NULL","NULL","NULL","NULL"
313,"TNG","Star Trek The Icarus Factor","2x14","1989","NULL","NULL","NULL","NULL"
314,"TNG","Star Trek Pen Pals","2x15","1989","NULL","NULL","NULL","NULL"
315,"TNG","Star Trek Q Who?","2x16","1989","NULL","NULL","NULL","NULL"
316,"TNG","Star Trek Samaritan Snare","2x17","1989","NULL","NULL","NULL","NULL"
317,"TNG","Star Trek Up the Long Ladder","2x18","1989","NULL","NULL","NULL","NULL"
318,"TNG","Star Trek Manhunt","2x19","1989","NULL","NULL","NULL","NULL"
319,"TNG","Star Trek The Emissary","2x20","1989","NULL","NULL","NULL","NULL"
320,"TNG","Star Trek Peak Performance","2x21","1989","NULL","NULL","NULL","NULL"
321,"TNG","Star Trek Shades of Gray","2x22","1989","NULL","NULL","NULL","NULL"
322,"TNG","Star Trek Evolution","3x01","1989","NULL","NULL","NULL","NULL"
323,"TNG","Star Trek The Ensigns of Command","3x02","1989","NULL","NULL","NULL","NULL"
324,"TNG","Star Trek The Survivors","3x03","1989","NULL","NULL","NULL","NULL"
325,"TNG","Star Trek Who Watches the Watchers","3x04","1989","NULL","NULL","NULL","NULL"
